name,brandId,categoryId,price,stock,status,productType,description,features,imageUrl,supplementFlavor,supplementPresentation,supplementServings,apparelSize,apparelColor,apparelMaterial
Gymshark Apex Training Tee Negro,1,1,549,30,Activo,Ropa,Playera deportiva ligera para entrenamiento de fuerza,[],,,,,M,Negro,Poliester
Gymshark Apex Training Tee Blanco,1,1,549,28,Activo,Ropa,Playera deportiva ligera para sesiones intensas,[],,,,,G,Blanco,Poliester
Gymshark Crest Hoodie Gris,1,1,1199,14,Activo,Ropa,Sudadera deportiva para calentamiento y uso casual,[],,,,,M,Gris,Algodon
Gymshark Legacy Tank Azul,1,1,499,22,Activo,Ropa,Tank top de corte atletico para gimnasio,[],,,,,M,Azul,Algodon
Gymshark Arrival Shorts Negro,1,1,699,26,Activo,Ropa,Short ligero con secado rapido para entrenamiento,[],,,,,M,Negro,Poliester
Gymshark Sport Jogger Gris Oxford,1,1,1099,16,Activo,Ropa,Jogger deportivo comodo para entrenamiento diario,[],,,,,G,Gris,Algodon
Gymshark Vital Seamless Top Verde,1,1,799,18,Activo,Ropa,Top deportivo ajustado para movilidad completa,[],,,,,CH,Verde,Nylon
Gymshark Adapt Leggings Negro,1,1,999,20,Activo,Ropa,Leggings de soporte para entrenamiento funcional,[],,,,,M,Negro,Nylon
Gymshark Power Sports Bra Rosa,1,1,649,24,Activo,Ropa,Sujetador deportivo de soporte medio,[],,,,,M,Rosa,Nylon
Gymshark Training Zip Jacket Azul Marino,1,1,1299,10,Activo,Ropa,Chamarra ligera para entrada y salida del gimnasio,[],,,,,G,Azul Marino,Poliester
Gymshark Lift Club Tee Verde Olivo,1,1,579,25,Activo,Ropa,Playera casual deportiva con corte regular,[],,,,,M,Verde Olivo,Algodon
Gymshark Rest Day Oversized Tee Beige,1,1,599,19,Activo,Ropa,Playera amplia para descanso y uso diario,[],,,,,G,Beige,Algodon
Gymshark Critical Drop Arm Tank Negro,1,1,529,21,Activo,Ropa,Tank sin mangas para hombro libre,[],,,,,M,Negro,Algodon
Gymshark Lightweight Training Pants Gris,1,1,1149,13,Activo,Ropa,Pantalon ligero para entrenamientos mixtos,[],,,,,G,Gris,Poliester
Gymshark Everyday Baselayer Blanco,1,1,689,17,Activo,Ropa,Capa base deportiva transpirable,[],,,,,M,Blanco,Poliester
Gymshark Performance Long Sleeve Negro,1,1,749,18,Activo,Ropa,Manga larga deportiva para clima fresco,[],,,,,G,Negro,Poliester
